Filename,FID Score
barrel4_20_6.498393924658126_18.0_0_70.png,121.99616
barrel4_20_6.498393924658126_18.0_0_80.png,117.91066
barrel4_20_6.498393924658126_18.0_0_90.png,126.72376
barrel4_20_7.677280700708316_21.0_0_15.png,103.37271
barrel4_20_7.677280700708316_21.0_0_20.png,111.09851
barrel4_20_7.677280700708316_21.0_0_30.png,129.23538
barrel4_20_7.677280700708316_21.0_0_35.png,137.9194
barrel4_20_7.677280700708316_21.0_0_40.png,131.89171
barrel4_20_7.677280700708316_21.0_0_45.png,127.50495
barrel4_20_7.677280700708316_21.0_0_50.png,118.94733
barrel4_20_7.677280700708316_21.0_0_65.png,115.783936
barrel4_20_7.677280700708316_21.0_0_70.png,115.23581
barrel4_20_7.677280700708316_21.0_0_75.png,115.62355
barrel4_20_7.677280700708316_21.0_0_80.png,108.75814
barrel4_20_7.677280700708316_21.0_0_85.png,133.8153
barrel4_20_7.677280700708316_21.0_0_90.png,141.63141
barrel4_20_8.904573706170723_24.0_0_25.png,126.690475
barrel4_20_8.904573706170723_24.0_0_30.png,144.32654
barrel4_20_8.904573706170723_24.0_0_60.png,121.12851
barrel4_20_8.904573706170723_24.0_0_85.png,136.17273
barrel4_20_8.904573706170723_24.0_0_90.png,144.57503
barrel4_20_14.530850560107218_36.0_0_50.png,180.05438
barrel4_20_14.530850560107218_36.0_0_55.png,186.36586
barrel4_20_14.530850560107218_36.0_0_60.png,189.37317
barrel4_20_14.530850560107218_36.0_0_70.png,141.6222
barrel4_20_14.530850560107218_36.0_0_75.png,122.896034
barrel4_20_16.19568066390014_39.0_0_70.png,138.18816
barrel4_20_16.19568066390014_39.0_0_75.png,127.02713
barrel4_20_16.19568066390014_39.0_0_80.png,127.930786
barrel4_20_3.1676888064907254_9.0_0_30.png,102.5763
barrel4_20_3.1676888064907254_9.0_0_35.png,91.70453
barrel4_20_3.1676888064907254_9.0_0_65.png,98.33184
barrel4_20_3.1676888064907254_9.0_0_70.png,104.06907
barrel4_20_3.1676888064907254_9.0_0_75.png,103.76773
barrel4_20_3.1676888064907254_9.0_0_90.png,132.37636
barrel4_20_4.251131233400442_12.0_0_25.png,118.14467
barrel4_20_4.251131233400442_12.0_0_45.png,110.08435
barrel4_20_4.251131233400442_12.0_0_70.png,114.286194
barrel4_20_4.251131233400442_12.0_0_80.png,100.79737
barrel4_20_4.251131233400442_12.0_0_85.png,121.57064
barrel4_20_4.251131233400442_12.0_0_90.png,134.78302
barrel4_20_5.358983848622454_15.0_0_0.png,96.04292
barrel4_20_5.358983848622454_15.0_0_15.png,104.65953
barrel4_20_5.358983848622454_15.0_0_20.png,113.49304
barrel4_20_5.358983848622454_15.0_0_25.png,116.32922
barrel4_20_5.358983848622454_15.0_0_40.png,118.27556
barrel4_20_5.358983848622454_15.0_0_45.png,107.97065
barrel4_20_5.358983848622454_15.0_0_55.png,98.90056
barrel4_20_5.358983848622454_15.0_0_60.png,119.490555
barrel4_20_5.358983848622454_15.0_0_70.png,116.54645
barrel4_20_5.358983848622454_15.0_0_75.png,112.12688
barrel4_20_5.358983848622454_15.0_0_85.png,128.672
barrel4_20_6.498393924658126_18.0_0_40.png,126.82218
barrel4_20_6.498393924658126_18.0_0_45.png,120.70635
barrel4_20_6.498393924658126_18.0_0_60.png,117.166794
barrel4_20_10.190508989888576_27.0_0_0.png,93.69972
barrel4_20_10.190508989888576_27.0_0_15.png,112.93005
barrel4_20_10.190508989888576_27.0_0_20.png,118.40283
barrel4_20_10.190508989888576_27.0_0_25.png,138.5117
barrel4_20_10.190508989888576_27.0_0_35.png,141.83623
barrel4_20_10.190508989888576_27.0_0_45.png,150.79779
barrel4_20_10.190508989888576_27.0_0_50.png,146.13373
barrel4_20_10.190508989888576_27.0_0_55.png,146.87466
barrel4_20_10.190508989888576_27.0_0_60.png,139.60068
barrel4_20_10.190508989888576_27.0_0_65.png,121.5636
barrel4_20_10.190508989888576_27.0_0_70.png,118.84502
barrel4_20_10.190508989888576_27.0_0_75.png,106.77488
barrel4_20_10.190508989888576_27.0_0_90.png,140.19908
barrel4_20_11.547005383792515_30.0_0_10.png,123.58382
barrel4_20_11.547005383792515_30.0_0_15.png,110.060394
barrel4_20_11.547005383792515_30.0_0_20.png,116.36277
barrel4_20_11.547005383792515_30.0_0_25.png,126.73466
barrel4_20_11.547005383792515_30.0_0_30.png,141.20047
barrel4_20_11.547005383792515_30.0_0_40.png,147.12201
barrel4_20_12.988151863950213_33.0_0_45.png,166.18738
barrel4_20_14.530850560107218_36.0_0_5.png,110.12685
barrel4_20_3.1676888064907254_9.0_0_80.png,106.76529
barrel4_20_6.498393924658126_18.0_0_65.png,120.06607
barrel4_20_11.547005383792515_30.0_0_45.png,152.77655
barrel4_20_11.547005383792515_30.0_0_5.png,95.998856
barrel4_20_11.547005383792515_30.0_0_50.png,164.18114
barrel4_20_11.547005383792515_30.0_0_60.png,152.94604
barrel4_20_11.547005383792515_30.0_0_65.png,138.29816
barrel4_20_11.547005383792515_30.0_0_70.png,138.10583
barrel4_20_11.547005383792515_30.0_0_75.png,118.22627
barrel4_20_11.547005383792515_30.0_0_80.png,125.61519
barrel4_20_12.988151863950213_33.0_0_30.png,138.09363
barrel4_20_12.988151863950213_33.0_0_35.png,137.36743
barrel4_20_12.988151863950213_33.0_0_40.png,163.37402
barrel4_20_12.988151863950213_33.0_0_55.png,171.8496
barrel4_20_12.988151863950213_33.0_0_60.png,161.77644
barrel4_20_12.988151863950213_33.0_0_65.png,152.79054
barrel4_20_12.988151863950213_33.0_0_70.png,141.55972
barrel4_20_12.988151863950213_33.0_0_80.png,120.30609
barrel4_20_14.530850560107218_36.0_0_15.png,111.579865
barrel4_20_14.530850560107218_36.0_0_20.png,111.95752
barrel4_20_14.530850560107218_36.0_0_25.png,126.52898
barrel4_20_14.530850560107218_36.0_0_35.png,150.5293
barrel4_20_14.530850560107218_36.0_0_40.png,158.05246
barrel4_20_14.530850560107218_36.0_0_45.png,156.66104
